model_id,route,fraction,group_id,production,consumption,predation,mortality,egestion,respiration,harvest,accumulation,migration,group_name,external_loss,designated_discard,retained,fishery_catch,explicit_discard_return,ee,production_residual,consumption_residual,discard_return_external,engine_name_original
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,29,25449.65939992,25449.65939992,3451.963274663288,0.0,0.0,0.0,0.0,21997.696125256713,0.0,Detritus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,28,26603.877900000003,26603.877900000003,3263.15649693,23331.600918300002,0.0,0.0,0.0,9.120484770000985,0.0,Phytoplankton,0.0,0.0,0.0,0.0,0.0,0.123,3.637978807091713e-12,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,27,50.316,50.316,0.9637788,49.30968,0.0,0.0,0.0,0.04254120000000228,0.0,Phytobenthos,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,26,1585.7643999999998,6228.5192,1343.1560688748386,225.1785448,1245.7038400000001,3397.0509599999996,0.0,17.429786325161103,0.0,Herbivorous zooplankton,0.0,0.0,0.0,0.0,0.0,0.858,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,25,361.92264,1515.38832,376.65998278611045,0.7238452800000006,303.077664,850.388016,0.0,-15.461188066110424,0.0,Predatory zooplankton,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,24,217.43903999999998,476.36316,111.69260805070255,105.45793439999998,95.272632,163.65148800000003,0.0,0.2884975492974462,0.0,2nd level benthos,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,23,13.72488,92.44872,10.971070081555474,2.5940023199999995,18.489743999999998,60.234095999999994,0.0,0.15980759844452663,0.0,Carnivorous invertebrates,0.0,0.0,0.0,0.0,0.0,0.811,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,22,1.47,2.94,0.033187567567567564,1.43325,0.588,0.882,0.0,0.003562432432432497,0.0,Jellyfish,0.0,0.0,0.0,0.0,0.0,0.025000000000000022,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,21,8.44468,16.873949999999997,3.852134595190157,4.45034636,3.3747899999999995,5.054479999999998,0.0,0.1421990448098427,0.0,Squids,0.0,0.0,0.0,0.0,0.0,0.473,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,20,2.0792,18.55686,3.3345002554406844,0.0,3.7113720000000003,12.766288,0.0,-1.2553002554406842,0.0,Crabs and shrimps,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,19,1.2624000000000002,10.71462,1.9501139946958446,0.0,2.1429240000000003,7.309296,0.0,-0.6877139946958444,0.0,Other mesopelagic fishes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,18,11.758400000000002,74.07792,1.5941473095418095,10.1357408,14.815584000000001,47.503936,0.0,0.02851189045819158,0.0,Bathylagidae,0.0,0.0,0.0,0.0,0.0,0.13800000000000012,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,17,1.1928,5.44215,0.6033463329516175,0.5928216000000001,1.08843,3.16092,0.0,-0.003367932951617525,0.0,Myctophidae,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,16,0.628,5.652,0.3081185661447695,0.308976,1.1304,3.8936,0.0,0.010905433855230517,0.0,Ammodytidae,0.0,0.0,0.0,0.0,0.0,0.508,-1.1102230246251565e-16,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,15,0.2575,1.6531500000000001,0.40923269838253173,0.0,0.33063000000000003,1.06502,0.0,-0.15173269838253173,0.0,Other bottom fishes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,14,0.10175999999999999,0.68052,0.1579933545945946,0.0,0.136104,0.44265600000000005,0.0,-0.05623335459459461,0.0,Cottidae,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,13,0.4744,3.5935799999999998,0.48600084054938725,0.0,0.718716,2.4004639999999995,0.0,-0.011600840549387259,0.0,Pleuronectidae,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,12,0.1683,3.2405399999999998,0.030374940659340658,0.109395,0.648108,2.4241319999999997,0.0,0.02853005934065934,0.0,Other Gadidae,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,11,0.8004,6.209770000000001,0.6382082472527473,0.15047519999999995,1.2419540000000002,4.167416000000001,0.0,0.011716552747252806,0.0,Pacific Sardine,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,10,5.16,46.44,4.0557815323387425,1.0268399999999998,9.288,31.992,0.0,0.07737846766125767,0.0,Capelin,0.0,0.0,0.0,0.0,0.0,0.801,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,9,1.029,1.6096499999999998,0.28157772227772226,0.717213,0.32193,0.2587199999999999,0.0,0.03020927772227766,0.0,Salmon,0.0,0.0,0.0,0.0,0.0,0.30299999999999994,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,8,0.64622,7.901879999999999,0.47416224044604044,0.12472045999999996,1.580376,5.675283999999999,0.0,0.047337299553959655,0.0,Pacific herring,0.0,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,7,1.1654500000000003,26.063700000000004,1.1175681813654235,0.0,5.212740000000001,19.685510000000004,0.0,0.047881818634576856,0.0,Juv. pollock,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,6,1.36125,24.75,0.7360159832034054,0.004083750000000004,4.95,18.438750000000002,0.0,0.6211502667965947,0.0,Walleye pollock,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,5,0.0016500000000000002,0.45815,0.0,0.0016500000000000002,0.09163,0.36487,0.0,0.0,0.0,Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,4,0.00265,0.9063,0.0003940881763527054,0.00125345,0.18126,0.72239,0.0,0.0010024618236472947,0.0,Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.527,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SM,0.1,3,0.00021999999999999998,0.05005,0.0,0.00021999999999999998,0.01001,0.03982,0.0,0.0,0.0,Sperm whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
