scenario_id,max_living_production_residual,max_living_production_relative_residual,max_consumption_relative_residual,max_consumption_residual,max_detritus_residual,whole_system_residual,whole_system_relative_residual,detritus_inflow,detritus_accumulation,returned_discard,external_discard,max_ee,min_ee,negative_physical_flows,negative_living_accumulation,ledger_closes,balance_tolerance,catch_weight_mode,warnings,rho_living,rho_detritus,nonfinite_cells,negative_source_cells,minimum_coefficient,method_conservation_valid,method_conservation_tolerance,recycling_resolution,legacy_sppr_inflow,legacy_sppr_outflow,legacy_sppr_relative_gap,ledger_sppr_outflow,ledger_sppr_relative_gap,sppr_budget_note,rho_living_unbroken_reference,path_semantics
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|PP|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|all|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,"['5 group(s) have TE=0 because EE=0 (M0=p): 35 (Leatherback turtle), 34 (Green sea turtle), 33 (Cetaceans), 32 (Pinnipeds), 31 (Seabirds). Their consumed PP is dropped, so the TE SPPR will not balance (multi-DET: re-credit not applied).', '1 group(s) have near-zero TE (0 < EE << 1): 7 (Chrysaora plocamia). Their SPPR is near-singular (inherent to the TE method); the detritus SPPR may be inflated and is not corrected by fix_EE_0_cases.']",0.7316477059387119,,0.0,0.0,0.0,False,0.05,,11310.477371346196,9702.248491578674,0.14218930173909256,9702.248491578674,0.14218930173909256,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|inner|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,"['5 group(s) have TE=0 because EE=0 (M0=p): 35 (Leatherback turtle), 34 (Green sea turtle), 33 (Cetaceans), 32 (Pinnipeds), 31 (Seabirds). Their consumed PP is dropped, so the TE SPPR will not balance (multi-DET: re-credit not applied).', '1 group(s) have near-zero TE (0 < EE << 1): 7 (Chrysaora plocamia). Their SPPR is near-singular (inherent to the TE method); the detritus SPPR may be inflated and is not corrected by fix_EE_0_cases.']",0.7316477059387119,,0.0,0.0,0.0,False,0.05,,11310.477371346196,9702.248491578674,0.14218930173909256,9702.248491578674,0.14218930173909256,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|PP|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,"['5 group(s) have TE=0 because EE=0 (M0=p): 35 (Leatherback turtle), 34 (Green sea turtle), 33 (Cetaceans), 32 (Pinnipeds), 31 (Seabirds). Their consumed PP is dropped, so the TE SPPR will not balance (multi-DET: re-credit not applied).', '1 group(s) have near-zero TE (0 < EE << 1): 7 (Chrysaora plocamia). Their SPPR is near-singular (inherent to the TE method); the detritus SPPR may be inflated and is not corrected by fix_EE_0_cases.']",0.7316477059387119,,0.0,0.0,0.0,False,0.05,,11310.477371346196,9702.248491578674,0.14218930173909256,9702.248491578674,0.14218930173909256,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|all|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.5599999999999999,1.109823001872164,0.0,59.0,-128276.05916800527,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.109823001872164, 'cond_IminusB': 26.380589837955593, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-23.244102227508435, 0.0, -16.182125141897263, -22.69817791494717]}",11310.477371346196,11310.477371346156,3.5381147553850633e-15,11310.477371346156,3.5381147553850633e-15,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|inner|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.5599999999999999,1.109823001872164,0.0,59.0,-128276.05916800527,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.109823001872164, 'cond_IminusB': 26.380589837955593, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-23.244102227508435, 0.0, -16.182125141897263, -22.69817791494717]}",11310.477371346196,11310.477371346156,3.5381147553850633e-15,11310.477371346156,3.5381147553850633e-15,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|PP|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.5599999999999999,1.109823001872164,0.0,59.0,-128276.05916800527,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.109823001872164, 'cond_IminusB': 26.380589837955593, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-23.244102227508435, 0.0, -16.182125141897263, -22.69817791494717]}",11310.477371346196,11310.477371346156,3.5381147553850633e-15,11310.477371346156,3.5381147553850633e-15,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|all|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.0,,0.0,0.0,0.0,,,,11310.477371346196,6512.465805853137,0.4242094659636802,6512.465805853137,0.4242094659636802,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,0.7316477059387119,Frozen Ulanowicz cycle removal; detritus stays a terminal basal source.
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|inner|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.0,,0.0,0.0,0.0,,,,11310.477371346196,6512.465805853137,0.4242094659636802,6512.465805853137,0.4242094659636802,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,0.7316477059387119,Frozen Ulanowicz cycle removal; detritus stays a terminal basal source.
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|PP|SC|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.0,,0.0,0.0,0.0,,,,11310.477371346196,6512.465805853137,0.4242094659636802,6512.465805853137,0.4242094659636802,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,0.7316477059387119,Frozen Ulanowicz cycle removal; detritus stays a terminal basal source.
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|inner|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|PP|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|inner|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|PP|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|inner|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|PP|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|inner|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|PP|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|inner|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|PP|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|all|SM|0,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,"['5 group(s) have TE=0 because EE=0 (M0=p): 35 (Leatherback turtle), 34 (Green sea turtle), 33 (Cetaceans), 32 (Pinnipeds), 31 (Seabirds). Their consumed PP is dropped, so the TE SPPR will not balance (multi-DET: re-credit not applied).', '1 group(s) have near-zero TE (0 < EE << 1): 7 (Chrysaora plocamia). Their SPPR is near-singular (inherent to the TE method); the detritus SPPR may be inflated and is not corrected by fix_EE_0_cases.']",0.7316477059387119,,0.0,0.0,0.0,False,0.05,,11310.477371346196,9702.248491578674,0.14218930173909256,9702.248491578674,0.14218930173909256,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
